time;cc;pci;earfcn;rsrp;pl;cfo;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached
14;0;0;4294967295;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1013;0;1;3400;-96;96;-2910.176758;0.89;3.6;0.49;1137.349365;33;0.0;0.0;0.0;0.0;67;0.0;0.0;2.0;0.0
2012;0;1;3400;-96;96;-2685.113281;1.1;4.2;0.51;0.0;0.0;0.52;0.0;0.0;56;78;0.0;1.0;0.0;0.0
3011;0;1;3400;-96;96;-2684.948486;1.0;3.8;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4010;0;1;3400;-96;96;-2685.451172;1.0;4.0;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5009;0;1;3400;-96;96;-2689.193848;1.0;4.7;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6008;0;1;3400;-96;96;-2697.653809;1.2;4.5;0.61;471;33;0.52;0.0;0.0;112;74;0.0;3.0;0.0;0.0
7007;0;1;3400;-96;96;-2704.582520;1.0;4.6;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8006;0;1;3400;-96;96;-2721.248535;1.0;4.5;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9005;0;1;3400;-96;96;-2714.494385;1.0;4.6;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10004;0;1;3400;-96;96;-2681.875244;1.3;4.2;0.70;471;0;1.6;0.0;0.0;56;76;0.0;2.0;0.0;0.0
11003;0;1;3400;-96;96;-2721.775635;1.0;4.1;0.50;0.0;0.0;0.0;0.0;0.0;56;62;0.0;0.0;0.0;0.0
12002;0;1;3400;-97;97;-2731.550293;1.0;5.0;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13001;0;1;3400;-97;97;-2738.381104;1.0;4.9;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14000;0;1;3400;-96;96;-2747.669922;1.3;5.1;0.52;471;0;0.52;0.0;0.0;0.0;77;0.0;0.0;0.0;0.0
14999;0;1;3400;-96;96;-2742.360596;1.0;4.6;0.50;0.0;0.0;1.6;0.0;0.0;168;68;0.0;0.0;0.0;0.0
15998;0;1;3400;-96;96;-2749.191406;1.0;4.5;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16997;0;1;3400;-96;96;-2756.182373;1.0;4.7;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17996;0;1;3400;-96;96;-2760.074707;1.0;4.4;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18995;0;1;3400;-96;96;-2777.583252;2.0;4.4;0.74;472;0;0.52;0.0;0.0;168;69;0.0;0.0;1.0;0.0
19994;0;1;3400;-96;96;-2752.819580;1.0;3.9;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20993;0;1;3400;-96;96;-2763.919922;1.0;4.5;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21992;0;1;3400;-96;96;-2761.502197;1.0;4.6;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22992;0;1;3400;-97;97;-2760.204590;1.2;5.1;0.52;472;33;0.52;0.0;0.0;112;72;0.0;0.0;1.0;0.0
23990;0;1;3400;-96;96;-2766.210693;1.0;4.7;0.50;0.0;0.0;0.52;0.0;0.0;0.0;82;0.0;0.0;0.0;0.0
24989;0;1;3400;-96;96;-2769.421875;1.0;4.5;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25988;0;1;3400;-96;96;-2768.990967;1.0;4.6;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26987;0;1;3400;-96;96;-2766.932861;1.2;4.5;0.55;472;0;0.52;0.0;0.0;0.0;76;0.0;0.0;0.0;0.0
27986;0;1;3400;-96;96;-2772.040039;1.1;4.7;0.70;0.0;0.0;0.52;0.0;0.0;167;67;0.0;0.0;0.0;0.0
28985;0;1;3400;-96;96;-2775.617920;1.1;4.6;0.76;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29984;0;1;3400;-96;96;-2777.508301;1.1;4.7;0.76;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30983;0;1;3400;-96;96;-2771.562988;1.1;4.9;0.76;144;0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31982;0;1;3400;-96;96;-2776.881592;1.2;4.9;0.53;327;0;0.52;0.0;0.0;56;77;0.0;0.0;0.0;0.0
32981;0;1;3400;-96;96;-2780.907959;1.1;5.0;0.53;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33980;0;1;3400;-96;96;-2778.989990;1.1;4.8;0.53;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
34979;0;1;3400;-96;96;-2781.748291;1.1;4.6;0.53;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35978;0;1;3400;-96;96;-2792.126709;1.2;4.8;0.57;472;0;1.6;0.0;0.0;112;70;0.0;0.0;1.0;0.0
36977;0;1;3400;-96;96;-2786.741699;1.0;4.3;0.53;0.0;0.0;0.52;0.0;0.0;56;50;0.0;0.0;0.0;0.0
37976;0;1;3400;-96;96;-2788.938232;1.0;4.2;0.53;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38975;0;1;3400;-96;96;-2784.054688;1.0;4.4;0.53;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
39974;0;1;3400;-96;96;-2780.068604;1.3;4.4;0.74;472;0;0.52;0.0;0.0;56;72;0.0;0.0;0.0;0.0
40973;0;1;3400;-96;96;-2779.570068;1.0;4.4;0.71;0.0;0.0;0.52;0.0;0.0;168;62;0.0;1.0;0.0;0.0
41972;0;1;3400;-96;96;-2782.272949;1.0;4.6;0.76;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42971;0;1;3400;-96;96;-2785.691162;1.0;4.8;0.76;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43970;0;1;3400;-96;96;-2790.834961;1.0;4.7;0.76;144;0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44969;0;1;3400;-96;96;-2790.541504;1.1;4.6;0.56;328;0;0.52;0.0;0.0;112;74;0.0;2.0;0.0;0.0
45968;0;1;3400;-96;96;-2793.920166;1.0;4.9;0.53;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46967;0;1;3400;-96;96;-2798.777832;1.0;4.6;0.53;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
47966;0;1;3400;-96;96;-2795.569580;1.0;4.7;0.53;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
48965;0;1;3400;-96;96;-2782.647949;2.9;4.8;0.57;472;0;0.52;0.0;0.0;224;62;0.0;1.0;1.0;0.0
49964;0;1;3400;-96;96;-2799.802734;1.2;4.6;0.50;0.0;0.0;0.52;0.0;0.0;0.0;67;0.0;0.0;0.0;0.0
50963;0;1;3400;-96;96;-2798.885498;1.0;4.6;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51962;0;1;3400;-96;96;-2801.675537;1.0;4.5;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
52961;0;1;3400;-96;96;-2799.980713;1.1;4.6;0.50;471;0;0.52;0.0;0.0;0.0;80;0.0;2.0;0.0;0.0
53960;0;1;3400;-96;96;-2803.780273;1.0;4.5;0.50;0.0;0.0;0.0;0.0;0.0;56;74;0.0;0.0;0.0;0.0
54959;0;1;3400;-96;96;-2805.753906;1.0;4.5;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
55958;0;1;3400;-96;96;-2805.856934;1.0;4.4;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56957;0;1;3400;-96;96;-2820.927002;1.1;4.2;0.53;144;0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
57956;0;1;3400;-96;96;-2807.056885;1.3;4.3;0.60;327;0;0.52;0.0;0.0;0.0;80;0.0;0.0;4.0;0.0
58955;0;1;3400;-96;96;-2811.928955;1.0;4.4;0.50;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59954;0;1;3400;-96;96;-2812.345459;1.0;4.4;0.50;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
60953;0;1;3400;-96;96;-2811.921143;1.0;4.5;0.50;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
61952;0;1;3400;-96;96;-2852.359619;1.3;4.5;0.51;472;0;0.0;0.0;0.0;56;77;0.0;1.0;1.0;0.0
62950;0;1;3400;-96;96;-2809.178711;1.0;4.5;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
63949;0;1;3400;-95;95;-2808.077393;1.0;4.0;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
64948;0;1;3400;-96;96;-2811.765137;1.0;4.4;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
65947;0;1;3400;-96;96;-2801.903809;1.2;4.2;0.51;472;0;0.52;0.0;0.0;0.0;79;0.0;2.0;0.0;0.0
66945;0;1;3400;-96;96;-2814.855469;1.0;4.5;0.51;0.0;0.0;0.52;0.0;0.0;0.0;81;0.0;2.0;0.0;0.0
67944;0;1;3400;-96;96;-2813.166016;1.0;4.4;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
68943;0;1;3400;-96;96;-2817.115479;1.0;4.1;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
69942;0;1;3400;-96;96;-2774.576660;1.0;4.3;0.50;144;0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
70941;0;1;3400;-96;96;-2811.737305;1.2;4.4;0.53;327;0;1.6;0.0;0.0;56;77;0.0;1.0;1.0;0.0
71940;0;1;3400;-96;96;-2819.221191;1.0;4.2;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
72939;0;1;3400;-96;96;-2820.376709;1.0;4.3;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
73938;0;1;3400;-96;96;-2818.438721;1.0;4.9;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
74937;0;1;3400;-96;96;-2818.533936;1.5;5.0;0.56;471;0;0.52;0.0;0.0;56;77;0.0;1.0;0.0;0.0
75936;0;1;3400;-96;96;-2823.344482;1.0;4.4;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
76935;0;1;3400;-96;96;-2819.889404;1.0;4.6;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
77934;0;1;3400;-96;96;-2821.692871;1.0;4.9;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
78934;0;1;3400;-96;96;-2810.548096;1.9;4.5;0.85;473;0;0.52;0.0;0.0;168;46;0.0;0.0;1.0;0.0
79927;0;1;3400;-96;96;-2821.895508;1.0;4.5;0.50;0.0;0.0;0.52;0.0;0.0;0.0;80;0.0;1.0;0.0;0.0
80926;0;1;3400;-96;96;-2826.490967;1.0;4.5;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
81925;0;1;3400;-96;96;-2826.153564;1.0;4.8;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
82924;0;1;3400;-96;96;-2846.862549;1.1;5.0;0.58;471;33;0.52;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
83923;0;1;3400;-96;96;-2828.823730;1.9;5.3;0.58;0.0;0.0;0.0;0.0;0.0;168;70;0.0;0.0;0.0;0.0
84922;0;1;3400;-96;96;-2830.985107;1.0;5.1;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
85919;0;1;3400;-96;96;-2828.442871;1.0;4.8;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
86918;0;1;3400;-95;95;-2830.220947;1.0;4.7;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
87917;0;1;3400;-95;95;-2825.881348;1.5;4.6;0.70;468;0;0.52;0.0;0.0;56;77;0.0;1.0;0.0;0.0
88916;0;1;3400;-95;95;-2826.116943;1.0;4.4;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
89915;0;1;3400;-96;96;-2832.062988;1.0;4.7;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
90914;0;1;3400;-96;96;-2833.307861;1.0;4.8;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
91913;0;1;3400;-95;95;-2858.833008;2.3;4.7;0.88;472;0;0.52;0.0;0.0;112;64;0.0;0.0;0.0;0.0
92912;0;1;3400;-95;95;-2833.448242;1.7;4.8;0.67;0.0;0.0;1.6;0.0;0.0;112;67;0.0;0.0;0.0;0.0
93911;0;1;3400;-96;96;-2833.505859;1.0;4.8;0.50;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
94910;0;1;3400;-95;95;-2843.715332;1.0;4.3;0.50;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
95909;0;1;3400;-96;96;-2812.408691;1.1;4.9;0.63;144;50;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
96908;0;1;3400;-96;96;-2837.386230;1.4;5.0;0.59;327;50;0.0;0.0;0.0;279;60;0.0;0.0;1.0;0.0
97907;0;1;3400;-96;96;-2839.525879;1.0;5.1;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
98906;0;1;3400;-96;96;-2840.884277;1.0;5.1;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99905;0;1;3400;-96;96;-2841.406738;1.0;5.2;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100904;0;1;3400;-95;95;-2839.117676;1.3;5.0;0.60;472;33;0.52;0.0;0.0;168;66;0.0;5.0;0.0;0.0
101903;0;1;3400;-95;95;-2833.463135;1.0;5.0;0.50;0.0;0.0;0.52;0.0;0.0;0.0;89;0.0;0.0;0.0;0.0
102902;0;1;3400;-95;95;-2844.442383;1.0;4.9;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
103901;0;1;3400;-95;95;-2835.512695;1.0;4.6;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
104900;0;1;3400;-95;95;-2847.743164;1.2;4.1;0.57;471;0;0.52;0.0;0.0;112;62;0.0;2.0;1.0;0.0
105899;0;1;3400;-95;95;-2841.717041;1.0;4.5;0.70;0.0;0.0;0.52;0.0;0.0;0.0;80;0.0;1.0;0.0;0.0
106898;0;1;3400;-95;95;-2844.520264;1.0;4.6;0.74;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
107897;0;1;3400;-95;95;-2844.684814;1.0;4.7;0.73;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
108896;0;1;3400;-95;95;-2779.737793;1.0;4.7;0.85;144;0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
109895;0;1;3400;-95;95;-2838.239990;1.2;5.0;0.97;327;0;0.52;0.0;0.0;56;76;0.0;1.0;3.0;0.0
110894;0;1;3400;-96;96;-2849.893066;1.0;5.3;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
111893;0;1;3400;-96;96;-2847.868408;1.0;5.3;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
112892;0;1;3400;-95;95;-2846.662354;1.0;5.0;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
113891;0;1;3400;-95;95;-2836.671387;1.1;4.7;0.55;472;0;0.52;0.0;0.0;56;75;0.0;0.0;1.0;0.0
114890;0;1;3400;-96;96;-2847.108643;1.0;5.2;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
115889;0;1;3400;-96;96;-2848.892090;1.0;5.2;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
116888;0;1;3400;-96;96;-2846.841064;1.0;5.1;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
117888;0;1;3400;-95;95;-2853.819824;1.2;5.1;0.62;471;0;0.52;0.0;0.0;56;73;0.0;0.0;0.0;0.0
118887;0;1;3400;-95;95;-2847.304443;1.0;5.1;0.50;0.0;0.0;0.52;0.0;0.0;56;75;0.0;0.0;0.0;0.0
119886;0;1;3400;-95;95;-2849.770996;1.0;5.1;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
120885;0;1;3400;-95;95;-2853.423340;1.0;4.9;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
121884;0;1;3400;-95;95;-2856.272217;1.1;4.8;0.50;144;0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
122883;0;1;3400;-95;95;-2852.849365;1.1;4.9;0.50;327;0;0.52;0.0;0.0;112;73;0.0;2.0;1.0;0.0
123882;0;1;3400;-96;96;-2855.649170;1.0;5.3;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
124881;0;1;3400;-96;96;-2853.586426;1.0;5.6;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
125880;0;1;3400;-96;96;-2853.878174;1.0;5.3;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
126879;0;1;3400;-96;96;-2860.517822;1.1;5.3;0.56;471;0;0.52;0.0;0.0;279;60;0.0;1.0;0.0;0.0
127878;0;1;3400;-96;96;-2854.144043;1.0;5.2;0.50;0.0;0.0;0.52;0.0;0.0;56;33;0.0;1.0;0.0;0.0
128877;0;1;3400;-96;96;-2853.758789;1.0;5.0;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
129876;0;1;3400;-96;96;-2850.251953;1.0;5.3;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
130875;0;1;3400;-96;96;-2853.679932;1.2;5.9;0.50;478;0;0.52;0.0;0.0;57;73;0.0;0.0;0.0;0.0
131873;0;1;3400;-96;96;-2852.552734;1.0;5.1;0.50;0.0;0.0;0.52;0.0;0.0;165;56;0.0;1.0;0.0;0.0
132872;0;1;3400;-96;96;-2858.147461;1.0;5.0;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
133871;0;1;3400;-96;96;-2859.075928;1.0;5.2;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
134870;0;1;3400;-96;96;-2866.893311;1.2;5.7;0.50;472;0;0.52;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
135869;0;1;3400;-96;96;-2857.877686;1.5;4.9;0.57;0.0;0.0;0.0;0.0;0.0;112;74;0.0;1.0;0.0;0.0
136868;0;1;3400;-97;97;-2860.046631;1.0;5.1;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
137859;0;1;3400;-97;97;-2863.480225;1.0;4.6;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
138858;0;1;3400;-97;97;-2858.753418;1.0;4.8;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
139857;0;1;3400;-96;96;-2836.766113;1.5;4.2;1.2;469;0;0.52;0.0;0.0;278;57;0.0;2.0;1.0;0.0
140856;0;1;3400;-96;96;-2863.152100;1.0;4.4;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
141855;0;1;3400;-96;96;-2862.630859;1.0;5.1;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
142854;0;1;3400;-96;96;-2863.013184;1.0;4.7;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
143853;0;1;3400;-96;96;-2871.771729;1.2;4.4;0.57;472;33;0.52;0.0;0.0;112;69;0.0;0.0;0.0;0.0
144852;0;1;3400;-96;96;-2864.155273;1.0;5.0;0.89;0.0;0.0;1.6;0.0;0.0;0.0;80;0.0;1.0;1.0;0.0
145851;0;1;3400;-96;96;-2871.772949;1.0;4.8;0.97;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
146850;0;1;3400;-96;96;-2866.333984;1.0;5.5;0.97;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
147849;0;1;3400;-96;96;-2863.006836;1.2;4.7;1.0;471;33;0.52;0.0;0.0;0.0;75;0.0;0.0;0.0;0.0
148847;0;1;3400;-96;96;-2863.071533;1.0;5.3;0.50;0.0;0.0;0.52;0.0;0.0;112;74;0.0;1.0;0.0;0.0
149846;0;1;3400;-96;96;-2865.447510;1.0;5.0;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
150845;0;1;3400;-96;96;-2867.805420;1.0;4.6;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
151844;0;1;3400;-96;96;-2864.234131;1.0;3.9;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
152844;0;1;3400;-96;96;-2851.542236;2.8;4.2;1.4;469;0;0.52;0.0;0.0;167;69;0.0;0.0;0.0;0.0
153842;0;1;3400;-96;96;-2875.926270;1.0;4.7;0.73;0.0;0.0;0.0;0.0;0.0;56;62;0.0;0.0;0.0;0.0
154841;0;1;3400;-96;96;-2873.350342;1.0;4.9;0.74;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
155840;0;1;3400;-96;96;-2870.007080;1.0;5.2;0.74;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
156839;0;1;3400;-95;95;-2911.801270;1.6;4.0;1.2;472;50;0.52;0.0;0.0;0.0;79;0.0;1.0;0.0;0.0
157838;0;1;3400;-95;95;-2870.996094;1.0;4.0;0.54;0.0;0.0;0.52;0.0;0.0;56;75;0.0;0.0;0.0;0.0
158837;0;1;3400;-95;95;-2877.926025;1.0;4.0;0.53;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
159836;0;1;3400;-96;96;-2877.202393;1.0;4.5;0.53;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
160835;0;1;3400;-96;96;-2854.682617;1.1;4.3;0.55;144;0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
161834;0;1;3400;-95;95;-2873.306885;1.3;4.0;0.71;327;50;0.52;0.0;0.0;167;70;0.0;1.0;0.0;0.0
162833;0;1;3400;-96;96;-2877.499268;1.0;4.1;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
163832;0;1;3400;-95;95;-2880.278809;1.0;4.1;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
164831;0;1;3400;-95;95;-2882.340820;1.0;3.9;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
165830;0;1;3400;-96;96;-2889.163818;1.2;4.4;0.71;471;33;0.52;0.0;0.0;112;74;0.0;2.0;1.0;0.0
166829;0;1;3400;-96;96;-2879.604492;1.0;4.5;0.74;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
167828;0;1;3400;-96;96;-2877.191162;1.0;4.3;0.74;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
168827;0;1;3400;-96;96;-2878.233398;1.0;4.5;0.74;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
169826;0;1;3400;-96;96;-2864.400635;1.2;4.7;0.68;471;0;0.52;0.0;0.0;56;50;0.0;0.0;0.0;0.0
170825;0;1;3400;-96;96;-2879.031982;1.1;5.5;0.50;0.0;0.0;0.52;0.0;0.0;56;77;0.0;1.0;1.0;0.0
171824;0;1;3400;-96;96;-2889.079590;1.0;4.8;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
172823;0;1;3400;-96;96;-2883.691162;1.0;4.4;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
173822;0;1;3400;-96;96;-2883.289795;1.0;5.3;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
174821;0;1;3400;-96;96;-2841.377197;1.2;4.2;0.92;472;0;0.52;0.0;0.0;168;70;0.0;3.0;0.0;0.0
175820;0;1;3400;-96;96;-2886.449463;1.0;4.3;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
176819;0;1;3400;-96;96;-2885.065918;1.0;4.1;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
177818;0;1;3400;-96;96;-2880.702637;1.0;4.6;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
178817;0;1;3400;-96;96;-2880.359863;1.4;4.9;0.54;471;33;0.52;0.0;0.0;0.0;78;0.0;0.0;5.0;0.0
179816;0;1;3400;-96;96;-2890.014404;1.0;4.7;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
180815;0;1;3400;-96;96;-2891.625488;1.0;4.7;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
181814;0;1;3400;-96;96;-2887.646729;1.0;4.5;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
